"review_title","review_text","review_star","date","author","page"
"Everything I wanted the Fire TV Stick to be","I love the Chromecast and I have one installed on every TV in my home. Flawless casting YouTube, Netflix, Twitch, etc. I have a 60mb download internet connection and I have used Chromecast with both a wired (you need a separate adapter) and a wireless connection. You can find applications on Android that you can cast just about any video from the internet to a Chromecast. Now if only they would support Amazon Prime Video...EDIT: They've gone and done it, ladies and gentlemen! Google and Amazon have worked it out and now we can cast Prime Video to these devices! I'm in hog heaven!","5.0 out of 5 stars","Reviewed in the United States on December 26, 2018","Dei Su",1
"Doesn't work the way you might think","The ad says ""Stream from your phone to your TV. Just like that."" Lots of articles tell you that the benefit of this over a fire stick is that you don't need an internet connection because you cast right from your phone. Sadly, these things are wrong, you need an internet connection at your house, so it's not like you can just cast from your phone with your unlimited data plan.","3.0 out of 5 stars","Reviewed in the United States on December 23, 2018","Marlin Rich",1
"You can't use Chromecast without internet service and a router.","I get unlimited internet through my cell phone because I live outside of the city in a small town that doesn't have internet service. So I ordered this with the belief that I could mirror my phone to my TV by getting Chromecast which would be awesome because I could stream Netflix and Amazon straight to my TV... or so I thought. Turns out you cannot stream directly to a TV with Chromecast UNLESS you have internet AND a wi-fi router. This information came directly from Google Chromecast tech support. Why the hell Google would set this up like that I have no idea. Had I known this, I would never have wasted $35 on this device. So please be aware of these facts BEFORE you decide to invest your money in this thing.","1.0 out of 5 stars","Reviewed in the United States on February 20, 2019","James Lockhart",1
"Be aware - useless in most hotel rooms","I travel quite a bit and bought Chromecast to be able to use hotel TVs instead of my small phone screen or tablet. Not so fast. At the very end of setup I got a message that Chromecast cannot communicate with my Android phone because of AP (Access Point) Client Isolation feature which prevents WIFI clients on the same router from communicating with each other. It is a security feature commonly used in hotels and other similar situations. Not Google's fault, but they should clearly warn about it as it is very common. Interestingly, in the initial setup Chromecast acts as its own access point and does not need another network, so they could do it differently... Returning it and will check Amazon Fire Stick which needs only one WIFI connection and communicates with its remote via Bluetooth","1.0 out of 5 stars","Reviewed in the United States on January 3, 2019","Kindle Customer",1
"I Wanted it to send movies, tv, video, etc to my big screen","I did not realize that the big three, google, apple, and amazon are locked in a death struggle for content and seem to make sure that whatever they control won't work on the other guys product.They all say you can use screen mirroring, but it I went through many you-tube videos and anything else I could find and the best I could do was to get it to work in reverse I could get the nice big picture on my 60 inch to show up on my iphone but not the other way,My suggestion is to decide what you want to watch, see who has a dedicated app for that and buy their device, hoping it will work and knowing it will probably be obsolete in a matter of months, of course if you want to watch something else, you might have to do it again.www this approach is expensive.","2.0 out of 5 stars","Reviewed in the United States on January 10, 2019","Joan D.",1
"Overall pleased, you can stream everything from your smart phone","Fun to use but doesn’t stream Amazon Prime from Google Home app. If you download separate Chromecast streaming app you might be able to mirror cast from smartphone Prime Video app but haven’t been successful so far. So I still have Roku to stream Amazon Prime but Chromecast streams everything else. Netflix, Hulu, Vudu, HBO Now, etc.Update: Chromecast streams Amazon Prime now!!!","4.0 out of 5 stars","Reviewed in the United States on December 29, 2018","Sara Surber",1
"Delivers on promise, but not without some minor issues","Finally, can purchase Google products from the comfort of Amazon.As for device itself - it does, what it's intended for; used to have a first gen of Chromecast few years back - current gen. seems to be faster and more stable (used to get a lot of connection errors on previous genearation - have never seen anything like that on new gen.) One of small issues - I planned to cast the movie audio track to my speaker with built-in chromecast and video to my TV (with chromecast dongle connected to it), but it seems it's impossible by the means of Google home app - not a showstopper, but somewhat strange for a company, that tries to build streaming device infrastructure .","4.0 out of 5 stars","Reviewed in the United States on January 8, 2019","Alex",1
"Works flawlessy, faster than the old one","Product replaced my old chomecast which lacked a couple of features I needed. This one was just as easy to install (<5mins). Has worked perfectly ever since. Delivery was fast as promised. Product performs well and seems to be faster on my internet that the old chromecast - the old one occasionally interrupted & temporarily froze videos despite my 70/70 Mbps synchronous high speed connection. With this Chromecast that is not happening. Nice!","5.0 out of 5 stars","Reviewed in the United States on February 18, 2019","sherbert",1
"It's the perfect device to stream everything from my phone to my TV","UPDATE: I now have an LG V40 ThinQ with Android 10.0 and the Chromecast is still great. I can send almost anything on my phone to the Chromecast and my TV. It is wonderful.I was looking for a way to send videos from my Android phone to my 2013 Samsung Smart TV. I use Netflix and my TV has an old, outdated version. I also use Prime Video and Kodi which my TV doesn't have. This Chromcast allows me to watch both of these and more on my TV. It was simple to install. I plugged it into my TV's HDMI socket and the power into my home's AC outlet. Then installed Google Home on my phone and followed the instructions. It took some fiddling with the programs but it works great. I read in one of the other reviews that it didn't work plugging the power cable into the TV's USB port. They were right and wrong. The Chromecast uses a 1 amp power supply. My TV has 2 USB ports; a 1 amp and a 0.5 amp. When I used the 1 amp port, it worked the same as plugging it in to an outlet. Now Netflix works simply as per the instructions. However, to get the others to work needs a little ingenuity. I have an HTC 10 phone, but this should work with others. I start Google Home first. Then go into my phone's settings to where the VPN and data exchange settings are. My phone calls the setting ""HTC Connect"". It tells the phone where to play the media. When you choose it, it lists the Phone, DNLA devices and the Chromecast. When you pick Chromecast, the phone's screen gets played, in real time, on the TV along with the phone. Now, anything you see on your phone gets played on your TV also. It's like using a phone with a 40 inch screen. Along with movies, you can stream music, photos, games, etc. I will be getting a new phone in a few days and will update these instructions when it arrives.UPDATE: I purchased a new LG V40 ThinQ cell phone. And it works with Chromecast just like my HTC phone did. You can stream with supported apps like Netflix or share using settings. The setting is under ""Connected Devices"". It is called ""Screen Sharing"" and Chromecast is listed like it was on my HTC. Obviously, I cannot promise that it will work with all phones, but it seems likely that it will.","5.0 out of 5 stars","Reviewed in the United States on February 8, 2019","Dr. M. Helfand",1
"Must have","Works exactly the way you would expect. Much easier to set up than previous generations. Have used Chromecasts as my only tv for years. So easy even my mom and boyfriend's mom can use it.You need:-Your house needs WiFi.-You need a smart phone that is logged onto your wifi (doesn't have to have an active plan).-Your tv needs an available HDMI port.-You need to have (and pay for, if applicable) the apps you want to stream (Youtube, Netflix, Hulu, etc).-10 to 30 minutes of patience and two brain cells.Included:-You can use either a regular wall outlet or your tv's USB port for charging. COMES WITH the charging cable and USB to wall converter box (same as charging a phone).-The ability to cast a phone screen, a phone app, the computer screen, a computer app, a computer file or Power Point.-Step by step setup instructions on your tv screen.","5.0 out of 5 stars","Reviewed in the United States on July 15, 2019","BobTD",1
