"review_title","review_text","review_star","date","author","page"
"From a value perspective, this might be the best Roku yet...","I'm a long-time Roku user, having purchased devices from every generation throughout Roku's evolution. I've had the very original Roku N1100, Roku 2 XD, Roku 2 XS, Roku 3 (2013 version), Roku 4, a TCL Roku TV, Roku Ultra (2016 version)...and now this Stick +. While I've only had it for a couple of days now, this might be the best Roku I've seen from a value perspective.My house is a Roku house. We have 5 televisions but don't have a cable or satellite subscription.. One of the TV's is a Roku TV and the other 4 all have a Roku attached to them. Literally everything we watch is delivered via the Roku. Our OTA material is delivered from a Tablo DVR to our Rokus. Our local media is served up via a Plex server to the Rokus. We also have PS Vue, Netflix, Amazon video, etc. etc. Bottom line, we use Roku a lot, and I'm very familiar with them. I wouldn't consider myself to be a Roku ""fan boy"", though. While most of the Roku's I've had have been great...there have been some clunkers. The Roku 2XS was a turd that never got any better. The Roku 4 was a turd at the start, but gradually got better with each subsequent firmware update. Unfortunately, the cooling fan in one of my Roku 4s (The 4 was the only Roku model to ever have one) has begun to make the dreaded ""grinding"" noise in recent weeks, so I decided to try replace it with a stick+.I've generally been leery about all of the ""stick"" form-factor devices. They've generally lagged behind the more traditional ""box"" form-factor devices as far as specs go. The Stick+, with its quad-core processor, HEVC support, and 4K capabilities convinced me that the gap may have finally been closed.So, after a couple of days with the Stick+...here are my thoughts on this device- It's snappy and smooth. It's maybe not quite as quick as my Roku Ultras...but it's every bit as fast as the Roku 4.- The new remote is great.The ability to control the TV's power and volume without a second remote or a universal remote is loooong overdue.- Excellent wireless reception. I had two walls between the Stick+ and my router, but was easily streaming 16mbps local media through Plex.- Powering via the TV's USB isn't optimal. Assuming your TV stops providing power to the USB when turned-off, the Stick+ will have to go through the boot-up sequence and then connect to your wireless before you can do anything with it each time you turn on your TV. This can take ~30 seconds. I highly recommend plugging it directly into an outlet using the provided adapter.So, this is a great Roku device. It doesn't have the same bells-and-whistles that my Roku Ultra's have...but then again, I also paid nearly twice as much for those. This Stick+ is much cheaper, provides basically the same UI/playback performance, and also has a remote that will make having to juggle your Roku and TV remotes a thing of the past. That's why I say, absent some deal-breaker that I haven't encountered yet, this is the best dollar-for-dollar Roku yet.","5.0 out of 5 stars","Reviewed in the United States on October 21, 2017","K. Krueger",1
"Vastly superior to Amazon devices","I purchased the Streaming Stick+ after having repeated difficulties and problems with the Amazon Fire TV Stick. The difference in quality between these two products is astounding. While the Fire TV Stick required constant reboots and had consistently poor network performance, the Roku has been flawless and completely without problems. The addition of 4K support is a huge bonus. I'm especially impressed with the connectivity. My room, where I'm using the device, is on a different floor, on the other side of the house from our router, but I've never had an issue with connectivity or performance.The menu/interface is a little outdated, but I'd gladly sacrifice a flashy menu for good performance. It's astounding to me what a bad product the Fire TV Stick was now that I've switched to Roku. I enjoy the wide selection of channels as well - every streaming service seems to be available through Roku. The voice functionality on the remote works well, and I like that I can turn my TV on and off with the Roku remote as well as adjust the volume. All in all it's an awesome product.","5.0 out of 5 stars","Reviewed in the United States on February 2, 2018","Andrew",1
"READ BEFORE BUYING! Great Roku stick and a great price!!","***Quick note before reading numerous reviews! I research everything immensely before I buy it and one HUGE discrepancy I noticed when reading the top reviews for Roku devices is that they mostly date back to 2017-2018 and sometimes even before. Please take into account that THIS Roku is the 2019 release date and THAT is the device you will receive and the device that I purchased & reviewed :). I'm sure what other's wrote is valid for their particular Roku based on the release date but rest assured that a review from 2017 or 2018 can NOT cover a product released in 2019! Hope this proves helpful for anyone considering any streaming device (don't judge the newest model on old model reviews)!A little back story, I do own both Rokus (5 now <U+0001F602>- mostly different generations but my two most recent ones are this one and the Ultra) and Amazon Fire Sticks (2 - various generations) and although I enjoy them all for the fact that we were able to cut our cable about 6 years ago thanks to them, I would say I am thoroughly enjoying this one and the Ultra the most. The technology is the most recent release dates and they stream absolutely flawlessly!I chose to purchase this particular Roku for my father because his bedroom is located on the top floor of our home while our modem is connected in our basement which is a concrete box of internet deadzone (the modem must be connected down there or the internet won't reach the entire house unfortunately, but we are in the process of getting booster Pods from Xfinity). We have the now 300 mb Xfinity internet (aka nerdy gaming speeds - was previously 250 mb) with our router/modem located in our basement for optimum connectivity and a WiFi range extender but our house still has connectivity issues with most devices. This Roku is not only 4K but it's supposed to be exceptionally good for connectivity which played a huge role in choosing this particular one.As soon as I plugged this Roku in, it was love at first home screen just as I had experienced with the Ultra that I had purchased several weeks prior. It recognized all my accounts, downloaded everything quickly, was extremely user friendly and the streaming quality is AMAZING. My father had become all too familiar with the loading screens on various streaming devices and we are ecstatic to be able to say goodbye to them for good thanks to the long-range wireless receiver in this bad boy. The picture quality is always exceptional whether streaming HD, HDR or 4K. This particular Roku stick is also so user friendly that my 70 year father (who generally avoids computers and technology like the plague) can even use it! I also believe this to be the best Roku for it's price point. The Ultra is amazing, but is not necessary in my opinion for most users although it too is highly impressive. We are very pleased with this Roku device and would definitely recommend it.***I took side by side photos of his new Roku (this one - the Roku Streaming Stick+) and his older model, the Roku 3. You can see based off the photos the difference in the remotes, particularly that the newer remote is much skinnier and more comfortable in your hand. The volume controls are the same with the exception of the mute button on the new remote. The Roku 3 remote is also shiny and has different channel buttons compared to the Roku Stick+ remote that is a matte black and features newer streaming channels. The new remote also has the on/off button that most Roku's feature and allows you to easily connect to your tv (it literally auto connects for you) and gives you the power to use your Roku remote on your TV as well. Last note, the picture quality is beautiful even on my Dad's older LG flat screen, but my phone only takes sub par pictures of it so don't mind that <U+0001F602>.","5.0 out of 5 stars","Reviewed in the United States on May 21, 2020","Erin Michelle",1
"Wow Roku! you make other companies look so .... BAD!!!! Thank you!!!!","Original title was: Perfect streaming stick with poor supporting (but mandatory) accessories… however, see updates belowI have bought three units. Two were installed successfully and are working great (with small adjustments described below)!The third one needed to be sent back to Amazon for replacement due to the poor quality and design of its unique power / antenna cable (you can’t find this cable anywhere and it cannot be bought separately). It easily snapped when installed on one of my wall-mounted televisions.In addition, I have a 65-Inch 4K Ultra HD television (Sony XBR-65X900A, a model from 2013) and my single 4K UHD HDCP 2.2 port is placed on the television’s back in an area that cannot fit this stick (due to its size and shape). I needed to add a small flexible extending cord to connect it. Finally, I also got an error message (from Roku) on that same television saying it is not getting enough power from the television’s USB port ... so I had to use the power adaptor that comes with this product. However, the power extender is also a very short cable ...Bottom line, once you get it installed and running (after one week of viewing) the product is great. The sound and picture quality are amazing. I loved the Roku user interface and speedy response. Its only Achilles’ heel is related to its poor proprietary power / antenna cable.UPDATE (November 10, 2017): Amazon quickly replaced the damaged cable and I was contacted by Roku. Roku team provided me with all the help I have needed (well, it should be on its way to me, so I will keep you updated once I'll get it). Thanks a lot Amazon and Roku!UPDATE (November 19, 2017): Today I have opened the door to my beloved FedEx delivery guy and look what I have got from Roku! The three (3) HDMI extenders (as promised) and an additional (and totally new) Roku Streaming Stick+ - all for FREE. Just as a reward for writing this review and adding my comments to it. To remind you, my original review had only four (4) stars (due to the issue with the product's accessory, as described above) – however, now I have updated it to five (5) stars. Because in my book - caring for customers and addressing their needs (and beyond) and making customers feel cared and important – it what makes a company (and its products) prefect. We all know, there are no real perfect products out there. For every product out there, we can always apply our hopes and wishful thinking (""I wish they have added that feature to it"", “I wish the screen was bigger”, ""I wish they have used that my preferred CPU "" and so forth). But a company with a great product and a perfect customer care, how many can you find out there?So, once again - Thank You Roku so much! I really like your product and now admires your service!","5.0 out of 5 stars","Reviewed in the United States on October 30, 2017","ike",1
"Buyer Beware - Please Read This Before You Buy","BUYER BEWARE - I've purchased Roku players in August 2012, May 2015, and this new Stream Stick+ in 2018. When I had a problem ""activating"" my new Streaming Stick+, I was given a number to ""Contact Support Toll Free to Activate Instantly"". I called the number and was told that since I had already registered 2 other Roku devices, in order to Activate this 3rd device, I would need to pay $70.00 to have a PREMIUM account. I told them that I didn't need nor want a PREMIUM account. I asked the customer service rep, to deactivate the first Roku I purchased in 2012 and then I would only have 2 registered devices on my account. I was told that - (1) Even if I deactivated a previous Roku player or (2 )if I opened a new account, I would still have to pay the $70.00 in order to register my Streaming Stick+ .So that is how Roku rewards it's returning long-time customer, by charging them a fee of $70.00 to activate more than 2 of their Roku devices! So, in addition to paying for the device itself, you now have to pay an extra $70.00 to use it!!!I am hoping this review will alert other potential buyers to Roku's new policy of rewarding their repeat customers.Patti","1.0 out of 5 stars","Reviewed in the United States on November 24, 2018","Patti S",1
"Technical Support holding my Roku device hostage...I am returning it!","We bought this Roku Streaming Stick+ thinking that all we had to do was plug it in and follow instructions. WELL NO! We have a Samsung Smart tv with numerous HDMI slots. We tried ALL of them and the update on the Stick would not load! We kept getting a 005 Network Error. I chatted online with ""Ray"". He stated that I would have to pay Technical support $69 to update the Stick+ . He explained that there have been too many errors updating their products so the company decided that the customer cannot update their new devices on their own and will now have to pay someone to do it for you! NOWHERE in the reviews I read did anyone state that I would be paying an additional $69 to use this device! So here I have a brand new device which costs $65 and now Roku wants to hold that item hostage and render it useless unless I fork over $69 for an update AND oh yes...that $69 would give me 6 months of free tech support! Yay!? Not gonna happen. I will NEVER purchase an item from this company again. They are way out of their league charging for technical support for an update to a brand new device.","1.0 out of 5 stars","Reviewed in the United States on August 12, 2018","Fanofsam1",1
"Switched to Linux mini PC for all in one Fully Functional PC/Video Streamer for TV","EDIT:I switched to a mini PC with Linux on my TV because i was tired of the limitations of Roku and the other popular video streaming devices as they all either have no web browser or a poorly functioning web browser.I use the Linux mini PC with a wireless keyboard with touchpad so I can do anything on my TV.All i had to do was adjust the Display settings in Linux to enlarge the text for TV.Rather than use ""apps"",you just bookmark your favorite websites for video streaming on your web browser.I use the Brave browser which blocks ads.I had been a Roku user for years,including several different models..Here are some points to consider when deciding on which model of Roku to buy:1)If you need to connect by WiFi in a room far away from your WiFi router,I would recommend the Roku Streaming Stick PLUS or Roku Ultra.2)If you have a 4K TV,I would recommend the Roku Ultra or Roku Streaming Stick PLUS.The Premiere 2018 model also plays 4K.3)To search for content using your voice,go with either the Streaming Stick,Streaming Stick PLUS or Ultra.All 3 of these models also have a remote that can control the power and volume on a TV.There is also a Roku app for Android & iPhone/iPad that lets you use your smartphone/tablet to control any Roku device and use your phone/tablet on-screen keyboard for searches.4)If you want a wired ethernet connection,go with the Roku Ultra.5)If you want to connect to an old TV with RCA/Composite audio/video jacks,you will need the Express PLUS6)The Express & Premiere 2018 models have a remote where it has to be pointed at the device,unlike the other Roku models.My gripe about Roku (and other streaming devices) is the lack of a fully functional web browser .I have been surfing the web on the big screen for years and find it ridiculous when an internet connected TV device does not allow you to surf the internet and forces one to switch to yet another internet connected device to do so.I am aware of the screen mirroring function from smartphone/PC/tablet but find that a poor excuse to not include a web browser.Many people who type a lot of messages and/or emails like myself prefer typing on a wireless keyboard rather than a phone/tablet/remote control.","2.0 out of 5 stars","Reviewed in the United States on October 11, 2017","modalsystem",1
"Love the device, dropping Spectrum","Spectrum's move to all-digital was my breaking point with my ever-increasing cable bill. I have six televisions, only two of which were using boxes, and this change would mean that I would have to rent an additional four. I have two Apple TV boxes and one Amazon Firestick, and can say that this is much speedier and more reliable than either of them. I've been trying it out for about a week now, and am confident in dropping Spectrum at the end of this billing cycle.By the way - I see that some reviewers have complaints about customer service trying to charge them for setting up the Roku, or for adding or dropping channels, or for troubleshooting. This is a scam perpetrated by someone with nothing at all to do with Roku. An outside entity was able to create a fake Roku site that topped the list when googling ""Roku."" The phone number you would call if you pulled it from this website was fake and, again, had nothing to do with Roku. Roku was the main victim in this scheme, it's cost them negative feedback all over the internet. Just DON'T google Roku and call any number you find at the site until this is straightened out. Look for a number on the documentation sent with your device. If anyone at the other end of the call tries to charge you for any of these things, you haven't reached the legitimate Roku support guys.","5.0 out of 5 stars","Reviewed in the United States on August 9, 2018","minderbinder",1
"Stopped Working After 5 Months","EARLIER REVIEW: Works just fine* and because our TV is not mounted, the length of the stick is not a problem at all. My husband enjoys the voice command feature and used it occasionally. At some point he was watching the TV and I don't know what he clicked on but the TV started talking--NONSTOP--reading everything on the screen. I was perplexed but, if this happens to you, go into ""Accessibility"" to turn it off. Apparently it's a feature for the sight-impaired.*LATER REVIEW (EDIT): THIS REMOTE IS A POS, It worked for about five months and then stopped working at all. If I hadn't read some other reviews where people had the same problem and discovered they had to change batteries way too frequently--one person had to remove the batteries every night and then put them back in the next night--I wouldn't have known that changing the batteries might work. We put in new batteries and it worked fine . . . for a few days. Then it stopped again.THE COMPANY'S RETURN POLICY IS A JOKE.I wanted to return it but the company has made it sufficiently difficult and iffy to make most people give up on that idea, given the hoops you have to jump through, the resulting length of time it would take to have your TV viewing restored, and the fact that one of the major faults in this remote seems to be that it eats thought batteries. Also, if the remote's problem was its propensity to eat up the charge in your batteries, the company would likely try new batteries and then send it back saying, ""You needed to change the batteries."" So basically we have to eat the price of this thing and take a chance on some other model. Or maybe we'll just get some other system than Roku.RETURN AND WARRANTY SERVICE PROCESS [Sorry about spacing; it was in pdf format]Please access and review Roku Support online help resources at support.roku.com before seeking warranty service. Returns orwarranty service requests for your new Player must be within the 30-day return period, or within the original product warrantyperiod.You must first obtain a Return Merchandise Authorization (RMA) number from Roku Customer Support. RMA numbers expire thirty days from issuance. Roku may attempt to troubleshoot a warranty-related problem prior to issuing a RMA number.Please be prepared to provide additional information upon request.Once a RMA number is obtained, you must ship your Player, freight prepaid, together with proof of purchase and all accessories, in either the original packaging or packaging affording an equal degree of protection, to the Roku authorized distribution facility identified by Roku Customer Support.Failure to return any of the accessories could result in a delay and/or result in an invoice to you or credit to Roku for the missing accessories. Important:When submitting a RMA, please provide the following information with your request: (a) modelnumber, (b) serial number,(c) problem description, (d) software version (located in the Settings menu), (e) date of purchase, (f) place of purchase (reseller or online place of purchase), and (g) return shipping address (P.O. boxes are not accepted).Additional Roku troubleshooting and online help resources can be found at support.roku.com","1.0 out of 5 stars","Reviewed in the United States on February 26, 2018","IMO",1
"Bought 2 returned 2","Folks something is wrong with the remote controls for the Roku sticks. The remotes works and then all of the sudden they won't control the TV or talk to the stick anymore. I bought another one and returned the first thinking I just got a bad unit. Nope replacement unit had quit talking to the stick about 5 minutes after setting up all my passwords. Stick with the big units until Roku figures this out.","1.0 out of 5 stars","Reviewed in the United States on July 2, 2018","Proline Shopper",1
