"review_title","review_text","review_star","date","author","page"
"Applephiles get a 4kTV and then buy this","Our house became Apple'fied a few years ago and the Apple TV box is pretty much central to that experience. If I have any complaint it's that I had just upgraded from a 3rd generation box to the 4th when this 4k version came out. Not a big deal until we upgraded to a 4k tv soon after, and then I had NO choice but to shell out the bucks for a 4k box! There are several in depth reviews here covering all the features so I won't repeat here other than to say you will need high speed internet and make sure you are using the proper HDMI cables (HDCP 2.2, ARC, HDMI 2.0, 18Gbit, etc.). Proper HDMI cables are a must or you won't get the best 4k has to offer ie; 4kHDR or DolbyVision at 60 Hz. Our particular setup is an LG 65"" LED/LCD 4kHDtv, Yamaha 4k pass through receiver and a 5.1 home theater speaker system. Peripherals include the AppleTV, Firestick and BluRay DVD player. Everything runs off high speed WiFi and everything communicates with each other perfectly. All the remotes automatically program to run each of the other devices including the Apple remote. At the end of the day 4k video is simply stunning, and I just don't see how they will improve upon it short of someday beaming signals straight to the cortex! If you're already in the Apple-verse, you know all you have to do is plug this thing in and it will set up virtually by itself. Just run the software updates and get the 4k settings where you want them. Couldn't be easier. Starting with the 4th generation box you can download apps from the App Store; many free and some paid. I don't do a lot of gaming but it has that capability. Frankly if you're here reading this then you probably already know what you want so I'll just close by saying get it. We recently cut the cord and the 4k Apple box along with an HD OTA antenna is central to that goal. We couldn't be happier.EDIT 1: A few months have gone by and all good. Wanted to update by informing that my LG tv has some of the same apps as the Apple Box and I find they are much more stable using the Apple device. YouTubetv in particular can be wonky when using the LG app, but works perfectly on ATV. Just one more bonus point!EDIT 2: There are a whole lot of comments under my post that seem fake to me. IDK if that's Amazon or Apple or who is responsible but it's pretty lame. Makes it seem like a scam product which of course Apple products are anything but. 2 years using this box and all good. I like it as much as when I first got it. Ignore all these b.s. filler comments below.","5.0 out of 5 stars","Reviewed in the United States on February 23, 2018","T. Shepard",1
"Yay, no more buffering!","We own about 3 different models of Rokus and an Amazon Fire. They all suffer from the same malady -- constant buffering. This will make you want to yank it out of the wall and toss it out the window during a critical football game or the best part of your favorite show. The Apple TV blows them away IMO. It is extremely fast and no more buffering issues. Certainly pricier than other options, but well worth saving up your pennies to get this!","5.0 out of 5 stars","Reviewed in the United States on February 5, 2018","David Michaels",1
"A Flexible Box which Can Deliver Stunning Content","Who should buy an Apple TV 4K?Do you have a 4K TV, with HDR support? Do you have an over 30 Mb/s Internet connection? Is your primary mobile platform iOS? Do you have a significant amount of content purchased via iTunes? If so, I think you will find the Apple TV to be a competently, and occasionally gratifyingly executed streamer which benefits from the strong iOS ecosystem. If not, then some other, cheaper, device will probably serve you better.I've owned every generation of the Apple TV, from the original silver box, and the 4K is the main streamer attached to my 4K TV, an LG OLED55B7. I've owned this particular Apple TV for 3 months at this writing, time enough to give it a proper review.32GB vs 64GBAs content is almost uniformly streamed (although you can get limited DVR apps), any excess space would be for large asset games. I bought the 64GB version, but that was for future proofing. Most people will be just as happy with the 32GB version.Delivering High Quality Video ContentAs an owner of hundreds of iTunes hosted movies, I was happy with Apple when they announced that not only would 4K material be sold without a price premium, but existing purchases would be upgraded to 4K at no additional cost. Older movies I had purchased such as The Princess Bride, or the James Bond movies have started showing up as 4K content. Combined with tvOS settings to match content frame rate, and HDR settings, older movies are much improved especially when HDR is captured. The black levels and popping colors of older film movies, along with the loss of frame conversion judder can result in a nearly transformative viewing experience. On the downside, telling the TV to switch display mode does result in a frustrating couple seconds of black screen as any video playback both begins and ends.If your TV supports HDR, the improvement in catalog titles—movies I’ve seen many times—can be startling. I did not expect movies like Ghostbusters (1984) to be as fresh looking.As my TV supports Dolby Vision, and newish iTunes movies are typically encoded with that advanced HDR format, I am prepared for a treat when I see the Dolby Vision tag appear on my screen. Modern movies so encoded, like La La Land, make me wonder if it's even possible for the human eye to see a better picture. If you have a new OLED, you really have to try it out.Out of curiosity, I purchased the UHD Blu-ray version of Justice League with HDR, and compared it to the iTunes 4K Dolby Vision version. I wanted to find out what I was missing with streaming level quality. While I had the nagging feeling the disc version was somehow cleaner, there was no discernible difference between the two versions as I switched back and forth. Both looked great. Plus, there is a scene midway through the movie where my UHD Blu-ray player locks up leading me to learn that scrubbing through a movie on my Apple TV is much faster than my LG UHD player. For me, the convenience and lower cost of online movies outstrips any barely perceptible quality improvement, and I'm unlikely to buy a UHD disc again.At this writing, I have 30 MBit fiber service to the house and 4K movies start streaming within a few seconds most every time and have only paused for buffering a handful of times in months of active use.Some apps require updates. For example, I use an over the air DVR app (MythTV) which shows signs of poor frame rate conversions and horrible color matching while using the content matching settings. The same 1080i content looks great when played via my TVs built in DLNA app. I hope this gets updated soon.Dolby AtmosWith tvOS 12, Apple delivers on its promise to bring the high end audio system Dolby Atmos to many, specially encoded, movies. As I'm that kind of person, I spent a Sunday crawling through my attic installing a pair of affordable ceiling speakers, and wiring them into my (compatible) AV receiver. It's a nice improvement, but not a spectacular one. Whereas the effect as demonstrated by the Dolby demo app on my LG TV shows what's possible with height speakers, actual movies tend to have subtle effects. I've listened to several Atmos encoded iTunes movies: Lego Batman, Ready Player One, Spiderman: Homecoming, Justice League, Earth: One Amazing Day and I enjoyed the immersive sound track, but the actual amount of sound coming out of the ceiling speakers is often small: often just the background music or a bit of an echo. Is it an improvement? Yes. Am I happy I spent $120 and an afternoon cutting into my ceiling? Yes. Has its spectacular-ness changed my perception of cinema? No. It's just a nice value add.As an App PlatformApple has made it easy to bring iOS apps to the tvOS platform, the large majority of the code for my own app runs unmodified on both platforms. So there is no technical reason for developers to avoid the tvOS platform; however there hasn't exactly been a gold rush, and some corporate goals clash. For instance, you will not see the highest possible quality YouTube content because of a disagreement between Apple and Google over the VP9 codec, and it took years for Amazon to finally bring (a fairly mediocre) version of their Prime Video app. I can report, however, that the Apple TV version of the Amazon Prime Video app does not skip audio like the version embedded in my TV, while still delivering stunning images as illustrated by the beautiful cars rolling throughout The Grand Tour. Wow.I've been happy with the collection of video streaming apps: Hulu, Netflix, iTunes, Amazon Video, VRV, and SlingTV are all serviceable, as well as local area streamers such as the live TV ""Channels"" and Tablo DVR apps which pull content from devices on my network. It's good that more and more services are allowing their content to be gathered into the centralized TV; app; I don't have to spend my time looking through different apps for content. People with content purchased on Amazon, Vudu or Google Play can create a Movies Anywhere account, download the free app and watch non-iTunes content on the Apple TV (and even get a few free movies in the process).As a Game MachineMany games are available, my family is particularly fond of Just Dance which makes use of the accelerometer on the Siri remote, and I have a couple gamepads that make games like Asphalt 8 tolerable. However, the Apple TV has not become a competitive gaming destination when compared to PlayStation or XboxThe RemoteThe remote is flimsy and sometime irritating when it comes to simple actions like showing closed captions. It's deficiencies are the primary reason I gave this streamer 4 instead of 5 stars. It works most of the time, and if you get into the habit of having Siri do things for you, can be fun. At least the 4K version of this remote makes it visually easier to tell what end is which via the simple affordance of a white ring around the menu button. The volume buttons are my favorite feature of the remote: they work with everything I've thrown at it: my receiver, the speakers inside my TV, various Bluetooth headphones...One of my favorite features is using Siri to turn off HomeKit enabled devices. So just before bed, I'll tell it to turn off the basement lights or power down the AC in the guest room.Interfacing with Other DevicesI have a new Yamaha 4K Home Theatre Receiver and I've been happy with how waking the Apple TV will wake the receiver and wake the TV over HDMI, and how the TV remote can control the Apple TV, again via HDMI. It makes a universal remote much less desirable. I've also been happy with using easily paired Bluetooth headphones to listen at night. This, I think, is superior to the wired connection one would find on the Roku remote. However, my TV also supports Bluetooth headphone pairing, which is even better as then I can hear all the sounds, not just those coming out of the Apple TV. Inexpensive Bluetooth keyboards can be paired, making searches and password entry much easier or even better use the iPhone remote app. (HDMI integration has also worked with the new Denon and Sony receivers I've tried.)For a while, I was connecting the Apple TV directly to the HDMI port in my TV and bringing sound into my receiver via ARC, but I eventually found that using a shorter (1 ft) quality HDMI cable allowed me to connect the Apple TV to my receiver and still be able to display Dolby Vision content without sparkles or lip syncing issues. Finally, a 1 cable to the TV solution.I am an advocate of devices, like this one, which have Ethernet ports, as I believe in the old adage that if you have a wire, you don't have a problem. Still, it does support modern WiFi if needed.If you want to get deep into the Apple ecosystem, an Apple TV can act as the central hub of the HomeKit home automation environment. Thus, I can remotely manage light switches, fans, control my thermostat, and find out the temperature of a variety of rooms from my iPhone.And ancient AirPlay is surprisingly useful for quickly bringing up content, such as sharing a YouTube video from your phone. I've taken to reading my son's computer class homework via Airplay where we can both comfortably read it on the big screen while he's editing it on his Mac laptop.ReliabilityThe current version of tvOS has been exceptionally reliable but occasionally apps will have to be restarted. Certainly not every day or every week but sometimes.Versus Previous VersionsThis contains a better processor than the Apple TV 4, but I can't say that it is any smoother than what was already smooth, and if you don't have a 4K TV with HDR, you will likely not notice better video quality. Functionally, the Apple TV 4 works just like the 4K. Older generations beyond that, are showing their age and I find that the 3rd generation is laggy and the 2nd generation is crashy. The 4K no longer has a USB port, so for app development, you'd best get used to remote debugging.SummaryI like the Apple TV 4K. I wish Apple didn't price it like an Apple product, but I use it everyday in many ways, and it does everything I want from a streamer.","4.0 out of 5 stars","Reviewed in the United States on December 19, 2017","Glenn R. Howes",1
"Best streaming device yet!","By far the best apple tv yet. The picture is unbelievably clear (and I don't even have a 4K TV). Really, really easy to set up. It links to your iPhone or iPad so you can use it to type in passwords etc during setup. I also have several Roku boxes and am now back to Apple TV - much better than ever!","5.0 out of 5 stars","Reviewed in the United States on January 2, 2018","TexasGirl",1
"I am John Wick using AppleTV 4K.","I generally used to regard the Apple brand as one of higher quality and integrity, but had never actually owned an Apple product. The fact that this product passed all of Apple's various stages of quality control and user experience testing to make it to market is incredible to me. I was going to wait until I had the chance to thoroughly test for all accolades and problems, but the list of problems grew inversely w/ my patience retention, so I had to stop collating and get to the review.= THE REMOTE =This remote needs no introduction. It is the spawn of Satan. It's the work of evil. After 30 minutes of trying to use this remote, you will look around the room for hidden cameras and pranksters watching from dark corners, and swear this remote is not for real and that you're being set up. You have read others' reviews- this remote is for real... in a bad, bad way.Handling the remote is like handling a venus flytrap. If you don't exercise an EXTREME AMOUNT OF CAUTION when touching, reaching for, picking up, or holding said venus flytrap, you will be bitten!! You WILL invariably and unintendedly activate something, go back, end app, skip something, bring up some weird menu, or trigger something bizarre, and you will have ONE RANDOM CHANCE IN 20 to undo it w/ out losing your place in whatever app you're in (streaming is H to the E to the double-bars). That's because the top 1/3 of the remote is a TOUCHPAD!! Apple made a remote out of a venus flytrap!! This remote sucks and the GUI that Apple has developed around it is ßeta at best. Over the last 10 years, we've all seen other companies /try/ to execute the touchpad remote (Panasonic), but Apple looks to embrace it fully and it unfortunately looks like the future of Apple remotes....but let's say you *lose* the venus flytrap. I know. Not Apple's fault. Can't blame Apple for that... or CAN'T I!?! Just LOOK at the number of people that have lost this... INCREDIBLY SMALL, CHEAP, THIN, SLITHERY piece of plastic! It must be in the millions by now! But, let's say you lose it. You pull out your iPhone and dial up the AppleTV app to control your AppleTV… brilliant! Except... the fooking app doesn't authenticate to the AppleTV directly via Bluetooth- it authenticates over the network! A lot of good THAT does you when you need the remote to type the password to get on the network. [FAIL]= USER EXPERIENCE =The user experience needs no contributions from the venus flytrap to be horrific. Most of my user experience has been restricted to MLB. Which, to that, you could say, ""if you have problems with the MLB app, that is MLB's fault, not Apple's, right?"" Wrong. I've seen MLB on the PC, PS3 (no longer supported), smartphone, and Roku. Hands down, AppleTV royally gets an 'F' for MLB streaming. Ultimately, Apple has accepted MLB's streaming solution and put it into their product... Apple's problem.1. On every other platform, ""next"" in MLB is a 30-second skip forward or jump to next half of inning. On AppleTV- it's 10s of FF. I have to push the 'next' button TWELVE TIMES to get to the next half of inning. {sigh} That would be slightly acceptable IF IT ACTUALLY SKIPPED FORWARD 10 SECONDS. No. Sometimes, it skips 5 seconds, sometimes not at all. I'm sitting there for 60 seconds pushing next next next next next… to get thru 2 minutes of the same gd commercials I've seen 500x now from unsuccessfully attempting to jump to next half of inning. [FAIL]2. I turn ""HIDE SCORES"" ON. I DON'T WANT TO SEE THE SCORES, MAN! Next time I wake up the AppleTV to watch a game, ALL THE SCORES ARE SHOWING! thx, AppleTV. I have gotten used to holding my hand over my eyes so that I can see only the top menu and scrolling through the venus flytrap menus with my venus flytrap to turn HIDE SCORES back ON. Sometimes, the scores /will actually be hidden/, but while I'm clicking thru venus flytrap menus trying to find my game in the calendar- POW - all the scores will appear. thx, AppleTV.3. Using venus flytrap menus, I click enter on the top of the 1st inning... and it brings up top of 3rd inning, showing current score and everything. thx, AppleTV. Did I do something wrong? I go back. All the way back. Restart AppleTV. Bring up game navigating venus flytrap menus, click on top of 1st inning... top of 3rd shows up. Come on!! I actually have to start game from very beginning of ALL commercials and pre-game that I have already seen 10x now, and magically slide venus flytrap remote slider from 0:00:00 to the unknown starting time of top of first inning using tiny thumbnails as my guide that sometimes show up, sometimes do not.4. I navigate the venus flytrap menus to my game, press enter, and it starts playing the game from 2 days prior. Or 1 day later. Or a different team! Wha? Did I do something wrong?? I go back. And right before I click enter on my game, date/matchup randomly changes to a different one. Sometimes, AppleTV shows me ""NO GAMES SCHEDULED"" and I'm thinking... uh, no games scheduled on a Sunday? Wrong. On a Friday?? Wrong.5. Commercials. Oh, man. What AppleTV and MLB appears to be doing is pushing commercials dynamically between innings. What this does is forces me to watch 5 minutes of commercials in between innings that I *KNOW* from being at the ballpark only last 2 minutes. And- if I try to FF, everything will either freeze or start playing from a random point in the game that is completely different than what the timeline shows! Wha?? If I try to drag the venus flytrap slider to the beginning of next inning and accidentally (VERY EASY TO DO!!) drop it just a touch in the 'commercial' timeframe, it starts all the commercials over from the very beginning and forces playback of all. This is COMPLETE rubbish!! This does not happen on ANY OTHER PLATFORM!! This reason alone is worth avoiding AppleTV.6. What's the first thing any techie support person will ask you when you're having problems w/ your device... ""Have you restarted the device?"" To restart this flipping unit, I have to scroll, click, glide, back, etc. ad nauseam. Or crawl into the cabinet and unplug the unit from power. Given the frequency of problems this piece of junk encounters, there should be a ""RESTART"" option when I hold down the button that brings up the ""SLEEP"" option. Instead, Apple wants you to 'enjoy' the navigational experience of venus flytrap (remote) and venus flytrap menus.= BOTTOM LINE =It would be impossible to oversell this product's terribleness. This is my first AppleTV, so I do not have other models to compare to nor do I have helpful advice on alternative AppleTV models to purchase. My recommendation would be to at least stay away from the AppleTV 4K model if not go with a Roku unit altogether. I have seen the Roku, I have used the Roku, and I prefer the Roku. So does everyone else in my family. I just had to be different. About 50% of the time, I am unable to watch a game w/out seriously wanting to smash this AppleTV on the concrete and enjoy the explosion of AppleTV inerts. I am John Wick using AppleTV.","1.0 out of 5 stars","Reviewed in the United States on August 31, 2018","Angry Llama",1
"Ignore the following warning at your peril!","WARNING - Conduct an exorcism on the remote before attempting to use it. Once that’s done you may continue.Its slender form makes it a very attractive device. It also makes it very hard to hold steady when pressing the home button. That tiny bump at the top end of the remote requires just enough pressure to use so that it also makes it very easy to have the whole remote move in your hand and inadvertently brush the the black glass touch-activated section that makes up the top third of the remote. That, in turn, causes a variety of other operations to take place that then require some time to recover before taking another stab at the home button.The setup of the AppleTV 4K is largely left to the imagination. That’s especially true because of the near total lack of documentation. What there is comes from third party You Tube videos and the like.Voice recognition is a hit-or-miss affair but that’s true of Apple products in general (We have a house full of them.)The main chip in the Apple TV 4K is very fast and allows the user to make a remarkable number of mistakes in a very short time.In the end, the Apple TV 4K is cursed by its over-design. It is trying to do too many jobs at once and getting tangled in its shorts. for example, it wants to collect all the channels that exist on the TV regardless of source. In the end a well intentioned assembly of information becomes an unholy mess.I admit to being totally spoiled after several years of living with Roku devices that do come with documentation that one rarely uses because they are truly intuitive and do essentially one job and do it exceedingly well. I strongly recommend the Roku Streaming Stick + and the Roku Ultra. (Just make sure that your TV has the appropriate HDMI HDCP 2.2 port, and High Speed HDMI Cable.","1.0 out of 5 stars","Reviewed in the United States on November 17, 2018","Dave in Connecticut",1
"Best Streamer On The Market (Even After Switching Over From Amazon Fire)","I had the Apple 2 TV, moved to Fire TV for two years, now I’m back to Apple with the 4K. Very happy with Apple. The Fire TV’s screen layout and controller drove me nuts. I love the layout of the Apple unit. Have not switched back to Fire even though I can.People say the Apple controller is bad because it’s sensitive. That is true. Very easy to bump and screw up what you’re watching. However, the input is faster with Apple. Plus, the voice text feature works inside specific fields, not just globally. Fire doesn’t do that. If, you’re in the YouTube app and want to voice something in instead of typing (scrolling), it uses the global feature and you get everything as a result: apps, songs, movies, etc. This takes you out of the app. With Apple, the voice texting stays inside the app to get results. 80% of the time I just talk-text and find stuff. It's way better than Alexa (however, it won't answer random questions like Alexa does).The controller is very thin, light, and slick. It falls right out of your hand. I highly advice you to get the elago R1 Intelli Case for like $12. It's a silicon no-slip, matte case that has a tiny lanyard and hidden magnets. (We stick it to our giant lamp post.) This gives it more substance and it won't fall through your hands. Get it in blue or black (the red is hideous).If you like, you can connect the unit to your iPad or iPhone. This is super handy since you can speed text everything.The unit itself is fast. Unlike the newest Fire TV dongle, it has an Ethernet port. And something I’ve missed is Airplay. I can send videos to play on my tv from my iPhone or iPad. (Anything with a video in your browser like Youtube or Vimeo.) Fire never allowed this.No, it does not have Atmos Dolby, but we just have a sound bar: good enough. No Amazon Music or Spotify, but the former is limited by song selection ad the latter has too many commercials. No loss there.I do miss having a browser: Apple doesn't have one. Kindle Fire has another cool feature I miss. When you look for a show or movie, it shows you several places where to watch it (different apps or stations). With Apple, it always sends you to their store to buy or rent it. It's all about using their ecosystem to get one last sale out of you. But, if you did buy a lot of stuff to keep, at least you have plenty of space to store it on Apple. You get hardly any space on Kindle Fire.One feature I like that's not on Amazon Fire is the home/tv button. It automatically creates a list of recent shows you watch that have a new unplayed episode. You have to have the tv app downloaded (nbc, cbs, etc), but if you watch a show once it adds the unplayed ones to the Up Next list. You can take them off this list too. Unfortunately, this feature does not work with Netflix. However, this shows you what you can watch without checking every single station. Brilliant.The Amazon Prime Video app is available, so not much the Fire has over the Apple. Apple’s features plus 32G make this great. And remember, Fire TV is trying to be cost-effective. You get what you pay for. Apple TV is fast and visually elegant. The Dynamic Cards (the layout) is so great for the user. Lots of pull-down info on every show. It's just very functional and beautiful. It's 100% Apply style!","5.0 out of 5 stars","Reviewed in the United States on July 12, 2018","P.W.A.",1
"An amazing upgrade, it does it all if you are an Apple user","I couldn't be happier with the new upgrade. I had a 3rd generation Apple TV which was slow (buffered a lot), and lacked Amazon Prime video (wouldn't accept the new OS update). I thought I was only upgrading for some better speed, but had no idea what a huge update this was. Setup was super easy, it sync'd with my iPhone and used all my apple account settings. The siri remote is better than I expected, it was nice to use voice for passwords and logins instead of typing. And, if your iPhone or iPad is in range, you can use that keyboard for typing on the Apple TV.If you are an Apple ecosystem user, this is a must have. If you aren't an Apple user (iCloud, iPhone, etc), it probably isn't worth the extra money, just go with a Roku or Amazon product.","5.0 out of 5 stars","Reviewed in the United States on March 9, 2018","Daedalus",1
"I have a smart tv. I already had the functionality to watch ...","I have a smart tv. I already had the functionality to watch Netflix and Amazon Prime shows, but hated how long it took for my tv to ""boot up"" and connect to actually watch my shows. This felt like a lot of money to save myself the 30 seconds it took for my tv to connect, but I own other Apple products and thought that the integration would *somewhat* justify the cost.Now that I'm on the other side? I don't know how I lived without this thing. Immediate bootup, access to my digital library, I can even control my soundbar with the remote! This took ALL of the frustration out of using my so-called smart tv.","5.0 out of 5 stars","Reviewed in the United States on May 2, 2018","PNWashington",1
"Talked with Apple Technical Support","I currently have two Apple TV 3rd gen units. They work great and always connect and mirror. Unplugged the old one connected to our 4K TV. Replaced with the new Apple 4K model to match the TV. The Apple TV 4K would not activate. Tried it with two different routers (including a new Arris) and also tried with setup via iPhone 6s blue tooth. Called Apple Technical Support and tried several procedures and they said the unit appeared to be in a loop. Went back to Amazon and now the top of the line Apple TV 4K is currently unavailable. Went to internet sources to see ""whats up"" and nothing to explain this. So I went to a local store and bought another 4K unit in case the first 4K had a bug. The second unit exhibited the same inability to connect and activate. Back to my old 3rd gens.","1.0 out of 5 stars","Reviewed in the United States on September 8, 2018","Verified Customer",1
